institution,programme_name,path_codes,spring_intake,start_month,start_date_verbatim,intakes_per_year,other_intakes,application_deadline_for_spring_intake,official_status,ruct_code,modality,language_of_instruction,tuition_total_eur,url,evidence_verbatim,notes,_verdicts_seen,_disagreement,_slices,_times_checked
"IE University — IE School of Science & Technology, Madrid",Master in Business Analytics and Data Science (RUCT title: Máster Universitario en Analítica de Negocio),X | AB | AA,YES,April (full-time spring cohort) and February (part-time cohort),"Programme fact strip, verbatim (live, 2026-08-29): 'duration | language | location | intake | Mode of Study | Format — 11 | 17 months · English · Madrid · February | April | September · Full-Time | Part-Time · In-person | Blended'. Tuition block, verbatim: 'TUITION 43,000€* — Part-Time February 2026 Intake · Full-Time April & September 2026 Intakes'. So April is a FULL-TIME spring cohort and February is a PART-TIME cohort; both are separate from the September start.","3 (February part-time, April full-time, September full-time)",September (full-time),"NONE — verbatim from the same page: 'There is no application deadline, as we operate a rolling admissions process and accept applications throughout the year. However, places are limited and awarded on a first-come, first-served basis, so we encourage you to apply as early as possible.' Admissions decision takes 1-3 weeks (the page's FAQ elsewhere says 4-6). 'Admissions are valid for the intake you apply to and the following one.' Non-EU visa caveat stated: 'If you are non-EU candidate, we encourage you to confirm your place and begin your visa process as early as possible.'",máster universitario (OFFICIAL) — RUCT 4317722,4317722,In-person (Madrid) for the full-time 11-month format; Blended for the 17-month part-time format,English (stated in the programme fact strip),"EUR 43,000 for the 2026 intakes (page states '43,000€*' against 'Part-Time February 2026 Intake / Full-Time April & September 2026 Intakes'); '*Tuition is reviewed on a yearly basis and therefore subject to change'. Plus a one-off IE Foundation contribution.",https://www.ie.edu/school-science-technology/programs/master-business-analytics-data-science/admissions-fees/,'intake ... February | April | September' and 'Part-Time February 2026 Intake / Full-Time April & September 2026 Intakes',"Candidate hit came from BOTH output/verified.jsonl (line 90) and output/deferred_candidates.jsonl (line 186), which quoted 'The 2027 full-time Spring intake starts on April 20th. The 2027 part-time intake starts on February 9th.' The MONTHS are re-verified live today; the exact 2027 day-dates (20 April 2027 / 9 February 2027) sit in a JavaScript-rendered FAQ tab that does not appear in the served HTML, so they are carried here as second-hand from output/verified.jsonl's 2026-08-25 read and are NOT re-confirmed. A separate RUCT title of the same name, 'Máster Universitario en Analítica de Negocio y Manejo de Datos' at IE, is flagged TITULACIÓN A EXTINGUIR in output/deferred_candidates.jsonl — do not confuse the two codes.",YES,,from-dataset,1
Institut de Formació Contínua IL3 — Universitat de Barcelona (UB),Experto en Inteligencia Artificial Aplicada a la Música (Diploma de Experto),B | A | P,YES,April 2027 (13 April 2027),Fechas 13/4/2027 - 16/11/2027,"1 — a single annual cohort that runs April→November, i.e. the ONLY intake is a spring one. There is no autumn start to compare it against.",none — no September/October cohort exists for this programme,NOT FOUND — page states only 'Matrícula abierta' (enrolment open) with no closing date published,"título propio / curso propio — 'Diploma de Experto' de la Universitat de Barcelona, 15 ECTS. NOT a máster universitario, NOT in RUCT, no PhD access, not eligible for public postgraduate scholarships. Page labels it 'Tipología: Curso'.",,"Presencial (Barcelona), with the page noting sessions can be followed remotely: 'sesiones presenciales de forma remota'",Castellano (verbatim field: 'Idioma Castellano'),"EUR 2,200 — verbatim: 'Precio 2.200 € (El precio incluye tasas administrativas de la Universidad de Barcelona)'. Rates as published for the 13/4/2027–16/11/2027 edition.",https://www.il3.ub.edu/experto-inteligencia-artificial-aplicada-a-la-musica,"Datos básicos — Créditos 15 ECTS | Tipología Curso | Idioma Castellano | Fechas 13/4/2027 - 16/11/2027 | Modalidad Presencial | Horario Martes de 18:00h a 21:00h, y un viernes al mes ... Lugar IL3 - Universitat de Barcelona. C/ Ciutat de Granada, 131 - 08018 Barcelona | Precio 2.200 € | Matrícula abierta","⭐ GENUINE SPRING ENTRY, AND THE ONLY ONE FOUND IN PATH B SO FAR — but it is NOT a master. The orchestrator brief asked whether that April start is a real cohort: it is. The page publishes an explicit dated cohort for the 2027 edition (13 April 2027 to 16 November 2027) with enrolment already open, not a generic 'April' marketing line. It is therefore a real spring-2027 entry point in the MIR/AI-for-music space — 6 months ahead of the candidate's September 2027 target — but it buys a 15-ECTS Diploma de Experto, not a 60/90-ECTS official master, so it cannot substitute for the target degree. Realistic use: a parallel or bridging credential, or evidence of field commitment on a Sept-2027 master application. Content mix per the page: ethics/legality/critical reflection on AI in music plus applied AI tooling for music professionals. ⚠️ DOMAIN NOTE, CORRECTING THE SHARED BRIEF: AGENT-BRIEF.md lists il3.ub.edu as Cloudflare-blocked. That is NO LONGER TRUE for curl with a browser User-Agent — 'curl -A <Chrome UA>' returned HTTP 200 and the full 211KB body on 2026-08-29. Future agents should retry il3.ub.edu with a UA before recording a block.",YES,,path-B,1
"LALIGA Business School, Madrid (título acreditado por la Universidad Alfonso X el Sabio)",Máster en Organización de Eventos Deportivos,S,YES,February 2027,"Programme fact strip, verbatim: «Fecha FEB 2027 · Duración 6 meses · Modalidad Presencial · Idioma ESPAÑOL». Month and year only — no day of month is published.","NOT FOUND — the page prints a single start (FEB 2027) and does not state how many cohorts run per year. It is a 6-month programme, so a February start is the programme's own calendar, not a second cohort of an October one.",NOT FOUND,NOT FOUND — no admission or enrolment closing date is published; the page routes to an admissions contact form and to Banco Santander financing agreements instead.,"TÍTULO PROPIO — page label «Máster de Formación Permanente y Acreditado por [Universidad Alfonso X el Sabio]». Máster de Formación Permanente is the post-RD 822/2021 legal name for a título propio: no ANECA verification, no RUCT entry, no PhD access, normally ineligible for public postgraduate scholarships. No RUCT code is printed anywhere on the page.",,"Presencial — LALIGA Business School campus, Madrid",Español — «Idioma ESPAÑOL» in the fact strip,NOT FOUND — no price figure published; the page shows financing options only,https://business-school.laliga.com/masters/master-en-organizacion-de-eventos-deportivos,Fecha FEB 2027 | Duración 6 meses | Modalidad Presencial | Idioma ESPAÑOL,"A genuine spring (February 2027) start, but note the trade-offs: (a) título propio, so no PhD access and no public funding; (b) SPORTS events, not music/live-entertainment — path S by subject matter but tangential to the candidate's music focus; (c) 6 months only, and Spanish-taught, which is a hard filter at A0/A1 Spanish; (d) a 6-month presential título propio is a weak basis for a Spanish long-stay study visa (visado de estudios normally expects a full academic course). Day of month and application deadline both need a human to ask admissions.",YES,,path-S,1
SAE Institute Spain (campuses Madrid and Barcelona); award accredited by UDIMA — Universidad a Distancia de Madrid,"Máster en Producción de Audio (Máster de Formación Permanente, 60 ECTS, acreditado por UDIMA)",A | C,YES,"February (per campus, alongside October)","Programme page 'Fechas de inicio' block, verbatim (live, 2026-08-29): 'Madrid: Febrero 2026, Octubre 2026 · Barcelona: Febrero de 2027, Octubre 2026'. Two cohort starts a year per campus, February and October — and note Barcelona's next published start is FEBRUARY 2027, an actual dated spring cohort.",2 (February and October),October,"NOT FOUND — no application deadline is published. Admission is by 'Cumplimentar el cuestionario de admisión y realizar entrevista de acceso con uno de nuestros asesores educativos' (admission questionnaire plus an interview with an adviser), i.e. rolling.","título propio — 'Máster de Formación Permanente (60 ECTS) emitido por UDIMA' (Universidad a Distancia de Madrid), i.e. the post-RD 822/2021 name for a título propio: NOT ANECA-verified, NOT in RUCT, NO PhD access, normally ineligible for public scholarships. The page offers two exit awards verbatim: 'Máster Profesional en Producción de Audio acreditado por UDIMA' and 'Máster en Formación Permanente en Producción de Audio acreditado por UDIMA (60 ECTS)' — the 60-ECTS one requires an official university degree, which this candidate has. Plus 'el Diploma Profesional emitido por SAE Creative Media Education'.",,presencial (fully in-person) at the Madrid or Barcelona campus. Duration 24 months.,Spanish (the programme site is Spanish-only; SAE Spain teaches in Spanish). NOT stated as an explicit 'idioma de impartición' line — flag.,NOT PUBLISHED on the page — NOT FOUND.,https://www.sae.edu/esp/courses/produccion-de-audio/,'Fechas de inicio — Madrid Febrero 2026 Octubre 2026 · Barcelona Febrero de 2027 Octubre 2026',"Candidate hit came from output/deferred_candidates.jsonl (lines 83 and 87) — discovered but never enriched. VERIFIED LIVE on sae.edu 2026-08-29. The February-2027 Barcelona start is one of very few DATED spring cohorts found anywhere in this sweep. IMPORTANT LIMITATIONS: título propio (no PhD access, no public funding), no published price, and the deferred record's caveat still stands — the page lists no Sept/Oct 2027 start yet, so the candidate's own Sept-2027 target intake is unconfirmed here. Entry rule quoted verbatim: 'Para obtener el Máster de Formación Permanente (60 ECTS) emitido por UDIMA, deberás disponer de un título universitario oficial de Grado, Licenciatura, Ingeniería Superior o Técnica...' — a 5-year Software Engineering degree qualifies.",YES,,from-dataset,1
SAE Institute Spain (campuses Madrid and Barcelona); award accredited by UDIMA — Universidad a Distancia de Madrid,"Máster en Producción de Música Urbana (Máster de Formación Permanente, 60 ECTS, acreditado por UDIMA)",A,YES,"February (per campus, alongside October)","Programme page 'Fechas de inicio' block, verbatim (live, 2026-08-29): 'Madrid: Febrero 2026, Octubre 2026 · Barcelona: Febrero de 2027, Octubre 2026'. Two cohort starts a year per campus, February and October — and note Barcelona's next published start is FEBRUARY 2027, an actual dated spring cohort.",2 (February and October),October,"NOT FOUND — no application deadline is published. Admission is by 'Cumplimentar el cuestionario de admisión y realizar entrevista de acceso con uno de nuestros asesores educativos' (admission questionnaire plus an interview with an adviser), i.e. rolling.","título propio — 'Máster de Formación Permanente (60 ECTS) emitido por UDIMA' (Universidad a Distancia de Madrid), i.e. the post-RD 822/2021 name for a título propio: NOT ANECA-verified, NOT in RUCT, NO PhD access, normally ineligible for public scholarships. The page offers two exit awards verbatim: 'Máster Profesional en Producción de Música Urbana acreditado por UDIMA' and 'Máster en Formación Permanente en Producción de Música Urbana acreditado por UDIMA (60 ECTS)' — the 60-ECTS one requires an official university degree, which this candidate has. Plus 'el Diploma Profesional emitido por SAE Creative Media Education'.",,presencial (fully in-person) at the Madrid or Barcelona campus. Duration 8 months.,Spanish (the programme site is Spanish-only; SAE Spain teaches in Spanish). NOT stated as an explicit 'idioma de impartición' line — flag.,NOT PUBLISHED on the page — NOT FOUND.,https://www.sae.edu/esp/courses/programa-en-produccion-de-musica-urbana/,'Fechas de inicio — Madrid Febrero 2026 Octubre 2026 · Barcelona Febrero de 2027 Octubre 2026',"Candidate hit came from output/deferred_candidates.jsonl (lines 83 and 87) — discovered but never enriched. VERIFIED LIVE on sae.edu 2026-08-29. The February-2027 Barcelona start is one of very few DATED spring cohorts found anywhere in this sweep. IMPORTANT LIMITATIONS: título propio (no PhD access, no public funding), no published price, and the deferred record's caveat still stands — the page lists no Sept/Oct 2027 start yet, so the candidate's own Sept-2027 target intake is unconfirmed here. Entry rule quoted verbatim: 'Para obtener el Máster de Formación Permanente (60 ECTS) emitido por UDIMA, deberás disponer de un título universitario oficial de Grado, Licenciatura, Ingeniería Superior o Técnica...' — a 5-year Software Engineering degree qualifies. Content: beatmaking, mixing/mastering in the box, vocal processing, sequencers, sampling, voice recording — directly relevant to a working music producer.",YES,,from-dataset,1
SAE Institute Spain (campuses Madrid and Barcelona); award accredited by UDIMA — Universidad a Distancia de Madrid,"Máster en Producción de Música Electrónica (Máster de Formación Permanente, acreditado por UDIMA)",A,YES,"February (per campus, alongside October)","Programme page 'Fechas de inicio' block, verbatim (live, 2026-08-29): 'Madrid: Febrero 2026, Octubre 2026 · Barcelona: Febrero de 2027, Octubre 2026'. Two cohort starts a year per campus, February and October — and note Barcelona's next published start is FEBRUARY 2027, an actual dated spring cohort.",2 (February and October),October,"NOT FOUND — no application deadline is published. Admission is by 'Cumplimentar el cuestionario de admisión y realizar entrevista de acceso con uno de nuestros asesores educativos' (admission questionnaire plus an interview with an adviser), i.e. rolling.","título propio — 'Máster de Formación Permanente (60 ECTS) emitido por UDIMA' (Universidad a Distancia de Madrid), i.e. the post-RD 822/2021 name for a título propio: NOT ANECA-verified, NOT in RUCT, NO PhD access, normally ineligible for public scholarships. The page offers two exit awards verbatim: 'Máster Profesional en Producción de Música Electrónica acreditado por UDIMA' and 'Máster en Formación Permanente en Producción de Música Electrónica acreditado por UDIMA (60 ECTS)' — the 60-ECTS one requires an official university degree, which this candidate has. Plus 'el Diploma Profesional emitido por SAE Creative Media Education'.",,presencial (fully in-person) at the Madrid or Barcelona campus. Duration NOT CAPTURED.,Spanish (the programme site is Spanish-only; SAE Spain teaches in Spanish). NOT stated as an explicit 'idioma de impartición' line — flag.,NOT PUBLISHED on the page — NOT FOUND.,https://www.sae.edu/esp/courses/produccion-musica-electronica/,'Fechas de inicio — Madrid Febrero 2026 Octubre 2026 · Barcelona Febrero de 2027 Octubre 2026',"Candidate hit came from output/deferred_candidates.jsonl (lines 83 and 87) — discovered but never enriched. VERIFIED LIVE on sae.edu 2026-08-29. The February-2027 Barcelona start is one of very few DATED spring cohorts found anywhere in this sweep. IMPORTANT LIMITATIONS: título propio (no PhD access, no public funding), no published price, and the deferred record's caveat still stands — the page lists no Sept/Oct 2027 start yet, so the candidate's own Sept-2027 target intake is unconfirmed here. Entry rule quoted verbatim: 'Para obtener el Máster de Formación Permanente (60 ECTS) emitido por UDIMA, deberás disponer de un título universitario oficial de Grado, Licenciatura, Ingeniería Superior o Técnica...' — a 5-year Software Engineering degree qualifies.",YES,,from-dataset,1
SAE Institute Spain — Madrid & Barcelona; título awarded by UDIMA,Máster en Producción de Música Electrónica,A,YES,February (spring) and October (autumn),Fechas de inicio — Madrid: 'Febrero 2026' / 'Octubre 2026'. Barcelona: 'Febrero de 2027' / 'Octubre 2026'.,2 per campus,October,"NOT FOUND — rolling admission, no dated window published","TÍTULO PROPIO — 'Máster en Formación Permanente en Producción de Música Electrónica acreditado por UDIMA (25 ECTS)'. Not official, not in RUCT, no PhD access, normally ineligible for public funding.",,presencial (Madrid / Barcelona),Español,NOT FOUND — no price published,https://www.sae.edu/esp/courses/produccion-musica-electronica/,"'Máster en Formación Permanente en Producción de Música Electrónica acreditado por UDIMA (25 ECTS)'; 'Duración: 8 meses'; 'Fechas de inicio — Madrid: Febrero 2026, Octubre 2026 | Barcelona: Febrero de 2027, Octubre 2026'; 'Obtendrás un Diploma Profesional de SAE, además del Máster de Formación Permanente (25 ECTS), o Máster Profesional, otorgado por la Universidad a Distancia de Madrid, UDIMA.'","⚠️ THE 25-ECTS TRAP CONFIRMED FROM SOURCE. This is called a 'máster' but carries only 25 ECTS over 8 months — under half a normal 60-ECTS master's year and well below the 60 ECTS a Spanish máster universitario requires. It is a certificate in master's clothing. For a student-visa application that is a material weakness: a Spanish long-stay study visa expects full-time study, and an 8-month, 25-credit private certificate is at high risk of being judged insufficient — and it confers no PhD access and no MECES level. The February/'Febrero de 2027' Barcelona start is real and correctly recorded here, but the award is not a master's in any legal sense. Spanish-language instruction is an additional hard filter. RECORD, DO NOT RECOMMEND.",YES,,music-schools,1
SAE Institute Spain — Madrid & Barcelona; título awarded by UDIMA,Máster en Producción de Música Urbana,A,YES,February (spring) and October (autumn),Fechas de inicio — Madrid: 'Febrero 2026' / 'Octubre 2026'. Barcelona: 'Febrero de 2027' / 'Octubre 2026'.,2 per campus,October,NOT FOUND — rolling admission,"TÍTULO PROPIO — 'Máster en Formación Permanente en Producción de Música Urbana acreditado por UDIMA (25 ECTS)'. Not official, not in RUCT, no PhD access.",,presencial (Madrid / Barcelona),Español,NOT FOUND,https://www.sae.edu/esp/courses/programa-en-produccion-de-musica-urbana/,"'Máster en Formación Permanente en Producción de Música Urbana acreditado por UDIMA (25 ECTS)'; 'Duración: 8 meses'; 'Fechas de inicio — Madrid: Febrero 2026, Octubre 2026 | Barcelona: Febrero de 2027, Octubre 2026'.","⚠️ Same 25-ECTS/8-month structure as the electronic-music programme — a private certificate marketed as a 'máster'. The spring start is genuine; the award is not a master's. Note also that SAE's own enquiry form offers separate start options 'Marzo 2026 / Marzo 2027' and 'Abril 2026' for two of its five listed courses, but the form does not label which course each date belongs to, so those March/April dates are NOT attributable to a named programme from this page and are recorded here only as an unresolved lead, not as a fact about this programme.",YES,,music-schools,1
SAE Institute Spain (SAE Creative Media Education) — campuses Madrid and Barcelona; INTERNATIONAL BRANCH CAMPUS of the global SAE network,Máster en Producción de Música Electrónica,A | P,YES,February (Barcelona: February 2027; Madrid ran February 2026),Fechas de inicio: Madrid «Febrero 2026» y «Octubre 2026»; Barcelona «Febrero de 2027» y «Octubre 2026»,2,October,NOT FOUND — no closing date published on the programme page,"título propio — «Máster de Formación Permanente (25 ECTS)» or «Máster Profesional» accredited by UDIMA (Universidad a Distancia de Madrid), plus a SAE Professional Diploma. Máster de Formación Permanente is the RD 822/2021 name for a título propio: no ANECA verification, no RUCT entry, no PhD access",,presencial (campus attendance),Spanish («Español» stated under requirements),NOT FOUND — no price displayed; page directs enquirers to request it via the enrolment process,https://www.sae.edu/esp/courses/produccion-musica-electronica/,"Fechas de inicio — Madrid: Febrero 2026, Octubre 2026. Barcelona: Febrero de 2027, Octubre 2026. Duración: 8 meses. Máster de Formación Permanente (25 ECTS) acreditado por UDIMA.","GENUINE SPRING COHORT START, and a PROVIDER TYPE THE OTHER SLICES WOULD MISS: an international branch campus (SAE Creative Media Education) operating in Spain, awarding a título propio validated by a Spanish online university. Absent from output/programmes.jsonl. Directly relevant to the candidate's producer/DJ profile (path A/P). Caveats: only 25 ECTS, 8 months, Spanish-only instruction (candidate is A0/A1), título propio so no PhD access and no public scholarship eligibility; a 25-ECTS título propio is also unlikely to support a Spanish student visa on its own — unverified, flag for human check. Barcelona's February 2027 date is in the candidate's fallback window.",YES,,national-sweep,1
SAE Institute Spain (SAE Creative Media Education) — Madrid and Barcelona; international branch campus,Máster en Producción de Música Urbana,A | P,YES,February,Madrid: «Febrero 2026» y «Octubre 2026». Barcelona: «Febrero de 2027» y «Octubre 2026»,2,October,NOT FOUND,"título propio — «Máster de Formación Permanente (25 ECTS)» or «Máster Profesional» acreditado por UDIMA, plus SAE Professional Diploma",,"presencial, «íntegramente presenciales»",Spanish («Español»),NOT FOUND,https://www.sae.edu/esp/courses/programa-en-produccion-de-musica-urbana/,"Fechas de inicio — Madrid: Febrero 2026, Octubre 2026; Barcelona: Febrero de 2027, Octubre 2026. Duración: 8 meses. 25 ECTS. Máster de Formación Permanente acreditado por UDIMA.","Third SAE title on the February/October dual calendar. 25 ECTS / 8 months — a short título propio, weakest of the three on credential value. Confirms SAE's spring cohort is a school-wide pattern on three of its four music masters (Industria Musical 360 is the exception, October only).",YES,,national-sweep,1
SAE Institute Spain (SAE Creative Media Education) — Madrid & Barcelona; título awarded by UDIMA (Universidad a Distancia de Madrid),Máster en Producción de Audio,A,YES,February (spring) and October (autumn),Fechas de inicio — Madrid: 'Febrero 2026' / 'Octubre 2026'. Barcelona: 'Febrero de 2027' / 'Octubre 2026'. (Month only; no day-of-month published.),2 per campus,"October (Madrid Oct 2026, Barcelona Oct 2026)",NOT FOUND — SAE publishes no dated application window. Its admissions page describes only a rolling process ('Para poder realizar tu matrícula en SAE Spain es un requisito indispensable cumplir con el proceso de admisión estipulado') and refers enquiries to advisers for 'las fechas de inicio y los planes de pago'.,"TÍTULO PROPIO — marketed as 'Máster en Formación Permanente en Producción de Audio acreditado por UDIMA (60 ECTS)'. 'Máster de Formación Permanente' is the post-RD 822/2021 legal name for a título propio: NOT ANECA-verified, NOT in RUCT, NO PhD access, normally ineligible for public postgraduate funding. Applicants without an official degree instead receive a 'Máster Profesional' (an even weaker, non-credit-bearing award). Plus a 'Diploma Profesional emitido por SAE Creative Media Education'.",,presencial (campus Madrid / Barcelona),Español — entry requirements state 'IDIOMA: Español',NOT FOUND — no price published anywhere on sae.edu/esp; disclosed only by an educational adviser,https://www.sae.edu/esp/courses/produccion-de-audio/,"'Fechas de inicio — Madrid: Febrero 2026, Octubre 2026 | Barcelona: Febrero de 2027, Octubre 2026'. Award: 'Podrás conseguir las siguientes titulaciones: Máster Profesional en Producción de Audio acreditado por UDIMA. Máster en Formación Permanente en Producción de Audio acreditado por UDIMA (60 ECTS). En cualquiera de los casos, obtendrás el Diploma Profesional emitido por SAE Creative Media Education.' Duración: '24 meses'. Access: 'Para obtener el Máster de Formación Permanente (60 ECTS) emitido por UDIMA, deberás disponer de un título universitario oficial de Grado, Licenciatura, Ingeniería Superior o Técnica...'","⭐ STRONGEST SPRING HIT IN THIS SLICE, and the only one in it that names a 2027 spring date outright: Barcelona 'Febrero de 2027'. ECTS = 60, so unlike SAE's electronic/urban 'másteres' this is a full-weight credit load. BUT the award is a título propio (Máster de Formación Permanente) — it is NOT an official máster universitario, gives NO PhD access, and its adequacy for a Spanish student visa is UNVERIFIED and must be confirmed with the consulate before relying on it (a non-official private certificate can still support a study visa if the course is full-time and ≥20h/week, but SAE does not state contact hours on this page). Language of instruction is SPANISH, which is a hard filter for a candidate at A0/A1. Duration 24 months means a Feb-2027 Barcelona start would run to early 2029. Madrid's published February date is 'Febrero 2026' (already past at access date) — the page had not been refreshed for Feb 2027 in Madrid, so a Madrid Feb 2027 cohort is PLAUSIBLE BUT NOT PUBLISHED; do not assume it. No fee and no deadline are published; both need a human enquiry.",YES,,"music-schools, national-sweep",2
