Program,University,Country,Region,Track,Funding,Fit score,Admission difficulty,Why (difficulty),Language,Portfolio?,Tunisian eligible?,Verified,Deadline status,Scholarship,Stipend / coverage,Tuition (intl),Application opens,Deadline,Fit notes,Source URL,Multi-country?,Entry requirements,Public/Private,All countries (raw),Funding detail (raw),Verification notes
"Master of choice at a Hungarian public university (e.g., music/music-tech at Liszt Academy or business/management) — programme-agnostic scheme",~30 Hungarian public universities (900+ programmes),Hungary,Europe,Sound & Music Tech,Full,100,Green,Accepts a bachelor's in any field,English,Check,Yes,Verified,Confirm 2027 date,Stipendium Hungaricum,Full tuition + monthly stipend + accommodation contribution (or dormitory); medical/health coverage required-and-provided per programme rules,Covered by scholarship,~November-December annually (2026/27 call opened Nov-Dec 2025),"PRIOR CYCLE - confirm new date; 2026/27 deadline was 15 Jan 2026, 14:00 CET. Next (2027/28) call expected to open ~Nov-Dec 2026, deadline ~mid-Jan 2027",Strong fully-funded scheme; Tunisia confirmed as sending partner for full-degree masters 'in any field of interest' — can target a music-tech or music-business master. Confirm chosen programme's language and audition rules; budget for entrance exam and 2 semesters of compulsory Hungarian.,https://stipendiumhungaricum.hu/apply/,No,"Bachelor's; apply to max 2 programmes (confirmed); pass programme entrance exams (min 56/100, held ~March-May); language proof per programme. Tunisia's sending authority: Ministry of Higher Education and Scientific Research (contact Slim Khalbaoui, slim.khalbaoui@mes.tn). Tunisia quota (reported 250 for 2026/27) not shown on official partners page — confirm with sending authority.",Public,Hungary,Full,Official apply page + official partners page fetched 2026-07-13. Confirmed: Tunisia is a listed sending partner for full-degree master studies in any field; coverage (tuition + stipend + accommodation contribution); max 2 programme choices; 15 Jan 2026 14:00 CET deadline for 2026/27 (prior cycle); entrance exam min 56/100; compulsory 2-semester Hungarian language study for MA students. NOT confirmed on official pages: the 250-scholarship Tunisia quota; 2027/28 dates not yet published.
"Stipendium Hungaricum-funded master's study in Hungary (umbrella scheme across ~30 host universities incl. Liszt Academy, Pécs, Debrecen, Corvinus)",Tempus Public Foundation / Government of Hungary,Hungary,Europe,Sound & Music Tech,Full,100,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Check,Yes,Verified,Confirm 2027 date,Stipendium Hungaricum,"Full tuition + monthly stipend HUF 43,700 (MA level, 12 months/yr) + free dormitory OR housing contribution HUF 40,000/month + medical insurance; travel NOT covered. Provisions are a contribution to living costs, not full coverage (all confirmed via Study in Hungary/EURAXESS)",Not applicable - scholarship waives 100% of tuition (confirmed),PRIOR CYCLE: opened Nov-Dec 2025 for 2026/27 intake (confirmed on official apply page); Sept-2027 (2027/28) cycle dates NOT yet published - expect ~mid-Nov 2026,"PRIOR CYCLE - confirm new date (2026/27 cycle closed 15 Jan 2026 2pm CET, results end-Jun/early-Jul 2026 - confirmed on official apply page; expect ~15 Jan 2027 for 2027/28)","THE key funding vehicle for this candidate: fully funded, Tunisia-eligible. Main gap: SH-eligible Hungarian music masters skew classical, so best paired with Corvinus (business) or checked yearly in the SH study finder for new music-tech programmes.",https://stipendiumhungaricum.hu/country/tunisia/,No,"Bachelor's degree, programme-specific requirements, language certificate usually required for arts programmes (candidate should book IELTS/TOEFL before Nov 2026), medical certificate of satisfactory health",Public (state scholarship scheme),Hungary,Full,"Confirmed on official sources: Tunisia has a dedicated SH country page (eligible sending country). Official apply timeline confirmed the 2026/27 cycle opened Nov-Dec 2025 and closed 15 Jan 2026 (2pm CET), results end-June/early-July 2026 - that cycle is already closed as of Jul 2026, so the Sept-2027 (2027/28) cycle dates are not yet published and the deadline is kept as prior-cycle. MA-level stipend HUF 43,700/month (12 mo), accommodation HUF 40,000/month or free dormitory, tuition waiver and medical insurance all confirmed; these are contributions only and do not fully cover living costs; travel not covered. CAVEAT: the country landing page currently shows a stale 'Application is On for 2026/27' banner despite that cycle having closed. The '~250 scholarships/yr for Tunisia' figure is aggregator-sourced and was NOT confirmed officially - verify the current Tunisia quota. Language certificate requirement is programme-specific."
Erasmus Mundus Joint Master (EMJM) in Sound — ReSound (Sound Design for Media Arts),"Consortium: IADT Dún Laoghaire (coordinator), Universidade Lusófona, Lithuanian Academy of Music and Theatre (LMTA) — within FilmEU alliance",Ireland,Europe,Sound Design / Production,Full,100,Green,Officially accepts computer/computational science degrees,English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Masters Scholarship,"Confirmed: EUR 1,400/month + full tuition/participation waiver (also covers insurance, enrollment, examinations; monthly allowance is for living/travel/visa costs). Up to 24 places/year with 'a significant percentage' holding EMJM scholarships, awarded on merit.","EUR 15,000 total for the 2-year programme (self-funded) — waived for scholarship holders; living costs est. EUR 600-1,000/month not covered","20 Oct 2025 for the prior (2026) cycle — confirmed on IADT page; 2027 cycle UNVERIFIED, expected ~Oct 2026","PRIOR CYCLE - confirm new date (2026 intake closed 27 Jan 2026, extended from 20 Jan; official site: 'Applications for ReSound 2026 have now closed'; Sept 2027 cycle expected to open ~Oct 2026)","STRONGEST fit in this batch for the DJ/producer goal — sound design, production, composition; explicitly welcomes computational-science backgrounds (direct match for the SMU MedTech software degree); fully funded. Mobility: Dublin -> Lisbon -> Vilnius -> thesis. Candidate must sit IELTS/TOEFL/Duolingo before the ~Jan 2027 deadline.",https://resound-ma.eu/ (also https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/),Yes,"Bachelor's in sound, music, film, media studies, computational science or related field (other fields with relevant experience considered). English: IELTS 6.0 (no component below 6.0) / TOEFL iBT 79 / Duolingo 110 / Cambridge B2, taken within 2 years. Top applicants invited to online interview.",Consortium,Ireland / Portugal / Lithuania,Full,"All key facts confirmed on resound-ma.eu/application and iadt.ie: EUR 1,400/month scholarship + tuition waiver and what it covers/excludes; EUR 15,000 total self-funded tuition; portfolio (max 3 works, 10-15 min); accepted degree fields incl. computational science; exact English test thresholds; interview stage; open to non-Europeans; prior-cycle dates (open 20 Oct 2025, extended deadline 27 Jan 2026). Only 2027-cycle dates remain unpublished."
Government of Ireland International Education Scholarship (GOI-IES) - applies to ANY taught masters at eligible Irish HEIs,"Higher Education Authority (HEA), Ireland",Ireland,Europe,Sound & Music Tech,Full,100,Green,Technical program — an engineering background is the expected profile,English,No,Yes,Verified,Confirm 2027 date,Government of Ireland International Education Scholarships,"EUR 10,000 stipend for one year + FULL tuition fee waiver from the host institution (one year of NFQ Level 9 or 10 study); ~60 awards per year",N/A - scholarship scheme,PRIOR CYCLE - 2026 call opened ~Jan 2026; 2027 call open date UNVERIFIED,"PRIOR CYCLE - confirm new date (2026 call closed 12 March 2026, 5pm Irish time; results early June 2026; 2027/28 call expected ~Jan 2027 - well-timed for a Sept 2027 start)","The single most important funding lever for this Tunisian candidate in Ireland: converts ANY eligible Irish public-university masters into a fully funded year - apply to programs Nov-Dec 2026, then GOI-IES ~Feb-Mar 2027.",https://hea.ie/policy/internationalisation/goi-ies/,No,"First apply for admission to a masters at a participating Irish HEI, then apply to the HEA call; all disciplines eligible",Public,Ireland,Full,"Official HEA page confirmed (2026 cycle): EUR 10,000 stipend for one year + full tuition fee waiver from host institution; ~60 awards/yr; NFQ Level 9 or 10 for one year of full-time study; eligibility requires domicile of origin OUTSIDE EU/EEA/Switzerland/UK, with only Russian and Belarusian nationals excluded - so a Tunisian national qualifies (Tunisia not separately named but meets the criterion and is not excluded). 2026 call closed 12 March 2026 (5pm Irish), outcomes early June 2026 - hence PRIOR CYCLE; a 2027 call is expected to open early 2027. Applicant must first hold/secure an offer from a participating Irish HEI."
"Master of choice (e.g., Music/Sound-Tech at Univ. of Limerick or DkIT; or Music Business/Management) — programme-agnostic scheme",Eligible Irish higher-education institutions (must secure admission first),Ireland,Europe,Sound & Music Tech,Full,100,Green,Technical program — an engineering background is the expected profile,English,Check,Yes,Verified,Confirm 2027 date,Government of Ireland — International Education Scholarships (GOI-IES),"EUR 10,000 stipend for one year of full-time study + full tuition-fee waiver granted by the host institution (NFQ level 9/10)",Covered by scholarship (host institution grants full fee waiver),UNVERIFIED (call typically opens ~January; 2027 cycle not yet announced),"PRIOR CYCLE - confirm new date; 2026 deadline was 12 March 2026, 17:00 Irish time (results early June 2026). 2027 call not yet announced — expected ~Jan-Mar 2027","Attractive fully-funded, English-language, 1-year route; Tunisian nationality confirmed eligible. Must first win admission to an Irish master's (Ireland has solid music-tech/production programmes, e.g. UL Music Technology). Sequence: apply to programme late 2026, then GOI-IES ~Jan-Mar 2027.",https://hea.ie/policy/internationalisation/goi-ies/,No,"Must hold a conditional or final offer of admission from an eligible Irish HEI at time of application (proof required); domicile of origin outside EU/EEA/CH/UK; 60 awards/yr; NFQ level 9/10 (taught master's, PG diploma, or PhD year).",Public/Consortium (any eligible Irish HEI),Ireland,Full,"Official HEA page fetched 2026-07-13. Confirmed: EUR 10,000 stipend + full fee waiver; 60 awards/yr; NFQ 9/10, one year; domicile-of-origin outside EU/EEA/CH/UK (Tunisia eligible; Russia/Belarus excluded); conditional/final Irish offer required at application; 2026 deadline 12 Mar 2026 17:00 (now past — prior cycle). 2027 call dates not yet published."
ReSound - Erasmus Mundus Joint MA in Sound Design for Media Arts,IADT Dublin + Universidade Lusofona Lisbon + Lithuanian Academy of Music and Theatre (FilmEU alliance consortium),Ireland,Europe,Sound Design / Production,Full,100,Green,Officially accepts computer/computational science degrees,English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus scholarship (merit-based; significant share of the max 24 places funded),"Fees fully waived + EUR 1,400/month scholarship contributing to travel, visa and living allowance (verified, higher than the draft's EUR 1,000 estimate)","EUR 15,000 total for four semesters (participation costs); waived for Erasmus Mundus scholarship holders",Expected ~October 2026 for Sept 2027 intake (prior cycle opened 20 Oct 2025); monitor resound-ma.eu,"PRIOR CYCLE - confirm new date (2026 intake: opened 20 Oct 2025, deadline 20 Jan 2026 extended to 27 Jan 2026; site now says 'Applications for ReSound 2026 have now closed')","Top catch-all pick CONFIRMED: explicitly welcomes computational-science graduates (his software-engineering degree fits), full EM funding at EUR 1,400/month, pan-European sound-design network. Portfolio: max 3 examples of sound/media work, 10-15 min total, each with a short reflective paragraph - he should start assembling now. English test required before the ~Jan 2027 deadline.",https://resound-ma.eu/ (also https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/),Yes,"Bachelor in sound, music, film, media studies, COMPUTATIONAL SCIENCE or related (other fields with relevant experience considered); English proficiency via IELTS/TOEFL or equivalent - he must sit a test; motivation letter; 2 references; passport copy; max 24 places/year",Consortium,Ireland / Portugal / Lithuania,Full,"Official site fetched: consortium, 2026-cycle closure confirmed. Fees (EUR 15,000 total), stipend (EUR 1,400/month), 24 places, portfolio spec (3 works, 10-15 min), non-EU eligibility, computational-science admission route, and 20 Oct 2025 - 27 Jan 2026 prior-cycle window confirmed via official-site application info surfaced in search (resound-ma.eu/application/ direct fetch 404'd). 2027 dates not yet published."
ReSound - Erasmus Mundus Joint Master in Sound (EMJM; FilmEU consortium),"IADT Dun Laoghaire (consortium coordinator campus, semester 1)",Ireland,Europe,Sound Design / Production,Full,100,Green,Officially accepts computer/computational science degrees,English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Master scholarship,"Full tuition waiver + EM living allowance (~EUR 1,400/mo, standard EMJM rate - from resound-ma.eu, NOT itemised on IADT page); intended to cover travel/visa/living","EUR 15,000 total for the 2-year program (EUR 7,500/yr) if self-funded - CONFIRMED on IADT page",Prior cycle opened 20 Oct 2025 (CONFIRMED); 2027-cycle open date UNVERIFIED,"PRIOR CYCLE - confirm new date. 2026 intake CONFIRMED on official page: opened 20 Oct 2025, closed 27 Jan 2026. Expect ~Oct 2026-Jan 2027 window for Sept 2027 - confirm on resound-ma.eu.","TOP PICK: fully fundable via EM scholarship, official page EXPLICITLY lists computational science as an accepted bachelor's - a direct asset for this software-engineering grad; covers sound design/production/composition for film/games/immersive/live. Confirm the 2027 cycle dates and the exact stipend/IELTS bands on resound-ma.eu.",https://iadt.ie/courses/erasmus-mundus-joint-ma-resound/,Yes,"Bachelor's in sound, music, film, media studies, COMPUTATIONAL SCIENCE or related - CONFIRMED (other fields considered with relevant experience)","Consortium (public institutions, Erasmus Mundus)","Ireland (+ Portugal, Lithuania mobility)","Full (Erasmus Mundus Joint Master scholarship, awarded on excellence to a share of the 24 places)","Official IADT ReSound page read in full. CONFIRMED: FilmEU consortium (IADT Dublin + Lusofona Lisbon + LMTA Vilnius), EUR 15,000 total self-funded tuition (EUR 7,500/yr), open to non-EU students, portfolio of max 3 works / 10-15 min, entry disciplines explicitly incl. computational science, max 24 places, 2 years, and prior-cycle dates 20 Oct 2025-27 Jan 2026. EM scholarships confirmed as awarded on excellence to a share of places (full funding nature confirmed). NOT itemised on the IADT page: exact monthly stipend (~EUR 1,400) and IELTS 6.0/TOEFL 79 bands - these come from the program's own resound-ma.eu site and should be reconfirmed for the new cycle. Sept-2027 application dates not yet published."
ReSound — Erasmus Mundus Joint Master of Arts in Sound Design for Media Arts,"IADT Dún Laoghaire (coordinator), Universidade Lusófona, Lithuanian Academy of Music and Theatre (LMTA)",Ireland,Europe,Sound Design / Production,Full,100,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,Yes,Yes,Verified,Confirm 2027 date,Erasmus Mundus Joint Master (EMJM) scholarship,"No tuition fees + EUR 1,400/month living allowance + contribution to travel and visa. A percentage of the max 24 annual places are funded. Prior EMJM scholarship holders ineligible.","EUR 15,000 total for 4 semesters (2 x EUR 7,500) if self-paying; waived for scholarship holders. Living costs est. EUR 600-1,000/month extra.",Prior cycle opened 20 Oct 2025 (Sept 2026 intake); Sept 2027 open date not yet published — expect ~Oct 2026,"27 Jan 2026 (Sept 2026 intake, now closed) — PRIOR CYCLE - confirm new date for Sept 2027","Best-fit primary track: builds real sound design, production and composition skills across film/games/immersive; portfolio-driven and arts-leaning rather than DSP-heavy, but CS background is an asset.",https://resound-ma.eu/application/,Yes,"Bachelor in sound, music, film or media studies (other fields considered with relevant prior experience); English: IELTS 6.0 (no component below 6.0), TOEFL iBT 79, Duolingo 110, Cambridge B2 or LanguageCert, taken within last 2 years, OR prior EQF-4+ qualification taught in English (min 1 academic year); portfolio of max 3 works (10-15 min total) with reflective paragraphs explaining your role.",Consortium,"Ireland, Portugal, Lithuania",Full,"Official application page confirmed on 13 Jul 2026: entry requirements, IELTS 6.0/TOEFL iBT 79 (2-yr validity), 3-work portfolio, EUR 15,000 self-pay tuition, EMJM scholarship with EUR 1,400/month + tuition waiver + travel/visa contribution, non-European applicants welcome (Tunisian eligible). Page states 'Applications for ReSound 2026 have now closed'; Sept 2027 dates not yet published."
"FUNDING SCHEME - Invest Your Talent in Italy (IYT): scholarship + company internship for master's programmes in Engineering/High-Tech, Design, Economics at ~20 partner universities (incl. Politecnico di Milano)","MAECI / Uni Italia consortium (partner universities incl. Polimi, UniTrento, UniPi)",Italy,Europe,Sound & Music Tech,Full,100,Green,"Open entry — a bachelor's in any subject, no field restriction named",English,No,Yes,Verified,Confirm 2027 date,Invest Your Talent in Italy,"Stipend paid in quarterly instalments (UniPi 2026/27 page states EUR 10,800 total; widely cited as EUR 1,000/month x 9 months = EUR 9,000 in prior cycles) + full tuition waiver + free Italian language course + mandatory internship in an Italian company; renewable for 2nd year on merit (30+ ECTS, language attendance, internship verification)",Full tuition waiver at participating universities (only regional study tax ~EUR 140 + EUR 16 stamp duty excluded) - confirmed on UniPi official IYT page,Expected ~Feb-Mar 2027 for the 2027/28 cycle (UNVERIFIED - main esteri.it portal returned 503),"PRIOR CYCLE - confirm new date (2026/27 11th-edition deadline was 11 May 2026, 18:00 Italian time; 2027/28 call expected ~Feb-May 2027)",Second full-funding route: pairs perfectly with Polimi Music & Acoustic Engineering (engineering field + English + Tunisia eligible) and adds an Italian-company internship for industry network.,https://investyourtalentapplication.esteri.it/SitoIYT/EN/invest-your-talent-in-italy,No,Bachelor completed (qualification valid for enrolment in a master's at the chosen partner institution; undergraduates not eligible); B2 English certificate required (candidate must take IELTS/TOEFL or equivalent); apply to an eligible English-taught programme in engineering/hi-tech/design/economics at a partner university; not cumulable with other Italian government or Erasmus+ funding; Polimi Music & Acoustic Engineering programme eligibility should be confirmed with Polimi,Public,Italy,Full (tuition waiver + stipend + internship),"Main esteri.it portal returned HTTP 503 (as in original sweep), but all key facts confirmed on the official University of Pisa IYT page (unipi.it): Tunisia on the 24-country eligible list, quarterly stipend totaling EUR 10,800 for 2026/27, full tuition waiver (regional tax EUR 140 + EUR 16 stamp excluded), free Italian course, mandatory company internship, 2nd-year renewal on merit, B2 English requirement, and 11 May 2026 18:00 deadline for the 2026/27 (11th) edition. Stipend figure updated from EUR 9,000 to EUR 10,800 per UniPi 2026/27 page - re-verify exact amount when the 2027/28 call opens. 2027/28 dates not yet published."
"FUNDING SCHEME - Italian Government (MAECI) Scholarships for Foreign Students: covers Laurea Magistrale (2nd cycle) AND AFAM 1st/2nd-cycle programmes (conservatory bienni, incl. electronic music); EXCLUDES 1st/2nd-level Master Universitari and single-cycle degrees",Italian Ministry of Foreign Affairs (MAECI) - any eligible Italian public/legally recognized institution,Italy,Europe,Sound & Music Tech,Full,100,Red,Live audition — assumes performance training,English,No,Yes,Verified,Confirm 2027 date,"MAECI Scholarship (Borse di studio del Governo Italiano), 2026-27 call","EUR 10,800 total over 9 months (1 Nov 2026 - 31 Jul 2027) in 3 installments (EUR 5,500 / 2,300 / 3,000) + MAECI collective health insurance + possible tuition exemption; renewable (requires 27 CFU/year for 3rd installment; must be in Italy by 15 Nov or amount reduced pro-rata) - ALL VERIFIED in official call","n/a - some universities exempt MAECI holders from enrolment/tuition fees (Legislative Decree 68/2012); regional fees always due and not refundable (VERIFIED, Art. 9)","Expected ~Feb-Mar 2027 on studyinitaly.esteri.it (2026-27 call published March 2026, ~3-week window)","PRIOR CYCLE - confirm new date (2026-27 call closed 26 March 2026, 14:00 Italian time; 2027-28 call expected ~Feb-Mar 2027)",THE key full-funding route for this candidate in Italy - uniquely covers conservatory (AFAM) electronic-music bienni as well as university LMs; pairs with English-taught LMs to avoid the Italian B2 hurdle. Caution: it does NOT fund Master Universitari (e.g. the Bologna Imprenditoria dello Spettacolo master) - Art. 2.4.2.,https://www.esteri.it/wp-content/uploads/2026/03/Bando-26-27-ENG.pdf,No,Age <=28 at call deadline for LM/AFAM (2026 call: born on/after 27 Mar 1997 - he must check his age at the 2027 deadline); bachelor completed; B2 language certificate (English or Italian per programme); must enrol in YEAR 1 of the programme; no prior Italian degree/enrolment; online application via Study in Italy portal; evaluation + interview at Italian embassy Tunis,Public,Italy,Full,"Full official 2026-27 call PDF read end-to-end: confirmed EUR 10,800 / 9 months in 3 installments (5,500/2,300/3,000), 1 Nov 2026-31 Jul 2027 funding window, renewability, health insurance, possible tuition exemption + regional fees due, age <=28 (LM/AFAM), B2 language rules incl. English-taught exemption from Italian, deadline 26 Mar 2026 14:00 (prior cycle), per-country selection with eligible list on studyinitaly.esteri.it, exclusion of Master Universitari/single-cycle degrees, incompatibility with other Italian public grants, first-year-enrolment requirement. Tunisia eligibility corroborated by the call's country references and Tunisian scholarship portals covering the 2026-27 call; exact 2027-28 country list must be confirmed when published."
